"id","PCC","AgencyName","GDSGroup","GDS","IATA","TVPNewBusinessExecutive","TVPAccountManagerExecutive","BusinessType","City","UF","Region","MIDT","TSO2013","TSO2014","TSO2015","TSO12Months"
"3R685782228","3R68","ABREUTUR","TVP","GAL","5782228","FERNANDA","FERNANDA","TOUR OPERATOR","RIO DE JANEIRO","RJ","SUDESTE","2.308","","","     1.358 ",""
"4MX5782228","4MX","ABREUTUR","TVP","GAL","5782228","FERNANDA","FERNANDA","TOUR OPERATOR","RIO DE JANEIRO","RJ","SUDESTE","1.305","","","        785 ",""
"4MX9999999","4MX","ABREUTUR","TVP","GAL","9999999","FERNANDA","FERNANDA","TOUR OPERATOR","RIO DE JANEIRO","RJ","SUDESTE","1.305","","","        785 ",""
"RIOB2210B0000000","RIOB2210B","ABT AGENCIA BRASILEIRA DE TURISMO ","AMA","AMA","0000000","PROSPECT","PROSPECT","LEISURE","RIO DE JANEIRO","RJ","SUDESTE","527","          -   ","          -   ","          -   ","  "
"SAOB221535759147","SAOB22153","NEW AGE VGNS E TUR ","AMA","AMA","5759147","PROSPECT","KELLY","TOUR OPERATOR","SAO PAULO","SP","SUDESTE","30.717","          -   ","          -   ","          -   ","  "
"5FX39999999","5FX3","ABV TURISMO","TVP","GAL","9999999","WILLIAM","WILLIAM","LEISURE","BELO HORIZONTE","MG","SUDESTE","1.294","        573 ","        293 ","        152 ","        600 "
"RIOB221MU0000000","RIOB221MU","ABVTUR AGENCIA BOA VIAGEM E TURISMO LTD","AMA","AMA","0000000","PROSPECT","PROSPECT","LEISURE","RIO DE JANEIRO","RJ","SUDESTE","1.157","          -   ","          -   ","          -   ","  "
"SAOB221M15751570","SAOB221M1","ADV - OPERADORA DE TURISMO ","AMA","AMA","5751570","PROSPECT","RENATA","TOUR OPERATOR","SAO PAULO","SP","SUDESTE","24.062","          -   ","          -   ","          -   ","  "
"RECB221205757172","RECB22120","ACADEMIC TRAVEL TURISMO ","AMA","AMA","5757172","PROSPECT","DANIEL","LEISURE","RECIFE","PE","NORDESTE","2.663","          -   ","          -   ","          -   ","  "
"RIOB221800000000","RIOB22180","ACALENTO TURISMO S/S ","AMA","AMA","0000000","PROSPECT","PROSPECT","LEISURE","RIO DE JANEIRO","RJ","SUDESTE","251","          -   ","          -   ","          -   ","  "
"NC1G9999999","NC1G","ACANTO AGENCIA DE TURISMO ","SAB","SAB","9999999","PROSPECT","PROSPECT","LEISURE","JOINVILLE","SC","SUL","0","          -   ","          -   ","          -   ","  "
"SAOB2215G0000000","SAOB2215G","ACAO VIAGENS E TURISMO ","AMA","AMA","0000000","PROSPECT","PROSPECT","LEISURE","SAO PAULO","SP","SUDESTE","328","          -   ","          -   ","          -   ","  "
"Z42G5750561","Z42G","ACAPULCO AGENCIA DE VIAG","SAB","SAB","5750561","WILLIAM","WILLIAM","LEISURE","GUARULHOS","SP","SUDESTE","0","          -   ","          -   ","          -   ","  "
"71R5750561","71R","ACAPULCO AGENCIA DE VIAG","TVP","GAL","5750561","WILLIAM","WILLIAM","LEISURE","GUARULHOS","SP","SUDESTE","0","          -   ","          -   ","          -   ","          -   "
"PZ9G9999999","PZ9G","ACARAU AGENCIA DE VIAGENS E TU","SAB","SAB","9999999","PROSPECT","PROSPECT","LEISURE","UNKNOWN","UNKNOWN","UNKNOWN","0","          -   ","          -   ","          -   ","  "
