"id","PCC","AgencyName","GDSGroup","GDS","IATA","TVPNewBusinessExecutive","TVPAccountManagerExecutive","BusinessType","City","UF","Region","MIDT","TSO2013","TSO2014","TSO2015","TSO12Months"
"50SF5752440","50SF","CVC","SAB","SAB","5752440","PROSPECT","DANIEL","TOUR OPERATOR","SANTO ANDRE","SP","SUDESTE","341","          -   ","          -   ","          -   ","  "
"4TQC5752440","4TQC","CVC","SAB","SAB","5752440","PROSPECT","DANIEL","TOUR OPERATOR","SANTO ANDRE","SP","SUDESTE","365","          -   ","          -   ","          -   ","  "
"B9LH9999999","B9LH","CVC","SAB","SAB","9999999","PROSPECT","DANIEL","TOUR OPERATOR","JOAO PESSOA","PB","NORDESTE","441","          -   ","          -   ","          -   ","  "
"H3SH9999999","H3SH","CVC","SAB","SAB","9999999","PROSPECT","DANIEL","TOUR OPERATOR","SAO PAULO","SP","SUDESTE","268","","          -   ","          -   ",""
"8RMC5751924","8RMC","SOFT TRAVEL","SAB","SAB","5751924","MARCELO","MARCELO","TOUR OPERATOR","SAO PAULO","SP","SUDESTE","273","          -   ","          -   ","          -   ","  "
"AC555702002","AC55","BAHIA BELLA VIAGENS E TURISMO","SAB","SAB","5702002","PROSPECT","KELLY","TOUR OPERATOR","SALVADOR","BA","NORDESTE","74","          -   ","          -   ","          -   ","  "
"E1IH9999999","E1IH","CVC","SAB","SAB","9999999","PROSPECT","DANIEL","TOUR OPERATOR","CAPAO DA CANOA","RS","SUL","843","","          -   ","          -   ",""
"8LEC5752338","8LEC","RCA OPERADORA","SAB","SAB","5752338","PROSPECT","KELLY","TOUR OPERATOR","CURITIBA","PR","SUL","232","          -   ","          -   ","          -   ","  "
"Z8YG9999999","Z8YG","CVC","SAB","SAB","9999999","PROSPECT","DANIEL","TOUR OPERATOR","BARUERI","SP","SUDESTE","562","          -   ","          -   ","          -   ","  "
"3L7A5752440","3L7A","CVC","SAB","SAB","5752440","PROSPECT","DANIEL","TOUR OPERATOR","SANTO ANDRE","SP","SUDESTE","536","          -   ","          -   ","          -   ","  "
